               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.028593,           0.0076142,                   0,             0.67674,             0.74774,              0.6738,             0.36584,            0.031876,            0.005356,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.032628,            0.008229,                   0,             0.64155,             0.64286,             0.66947,             0.39378,            0.032471,           0.0054666,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.029003,           0.0071916,                   0,             0.65251,             0.67857,             0.66682,             0.35822,            0.036959,           0.0054431,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.029967,           0.0083265,                   0,              0.6905,             0.71722,             0.69883,             0.39003,            0.034115,           0.0054935,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.029474,             0.00844,                   0,             0.73142,             0.71429,             0.68021,              0.4068,            0.033062,           0.0052888,                   0,            0.005578,            0.005578,            0.005578
                  69,             0.02907,           0.0083203,                   0,              0.7136,             0.67857,             0.65424,             0.39653,            0.030568,           0.0054142,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.027132,           0.0077197,                   0,             0.65368,             0.74173,             0.69641,             0.39661,            0.031975,           0.0053337,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.027073,           0.0086614,                   0,             0.71698,             0.67857,             0.68517,             0.39098,            0.032767,           0.0054433,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.028933,           0.0075744,                   0,             0.71302,             0.71003,             0.71053,             0.41844,            0.029609,           0.0052854,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.029668,           0.0078129,                   0,             0.76149,                0.75,             0.73266,             0.37302,            0.033766,           0.0054588,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.027878,           0.0067681,                   0,             0.76124,             0.71429,             0.69939,             0.37606,            0.032578,            0.005601,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.029318,           0.0092783,                   0,             0.74047,             0.64286,             0.60877,              0.3187,            0.032517,           0.0059808,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.027612,           0.0079849,                   0,              0.7891,             0.67857,             0.62338,             0.35842,              0.0327,           0.0058815,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.030231,           0.0074217,                   0,             0.79044,             0.67373,             0.64525,             0.35838,            0.033826,           0.0058193,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.027194,           0.0075015,                   0,             0.74976,             0.64206,             0.67916,             0.38312,            0.031204,             0.00581,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.025181,           0.0070972,                   0,             0.66405,             0.71429,              0.6312,             0.31923,             0.03492,           0.0056226,                   0,            0.004852,            0.004852,            0.004852
